year_code,avg_prcp,avg_tavg,max_tmax,min_tmin,avg_temp_diff
2003,1.8041095890411,5.87178082191781,33.6,-18.2,15.4772602739726
2004,1.75681818181818,4.93636363636364,31.2,-20.3,16.315625
2005,2.99532967032967,5.31098901098901,31.3,-16.2,14.7467032967033
2006,2.29423076923077,5.70989010989011,29,-21.2,12.9876373626374
2007,1.40824175824176,6.07032967032967,31.3,-20.3,13.2865384615385
2008,1.54672131147541,5.92158469945355,30,-18,13.5590163934426
2009,1.80659340659341,5.91153846153847,28.3,-19.6,13.2541208791209
2010,2.66986301369863,5.30821917808219,28.1,-18.9,12.1186301369863
2011,2.17698630136986,4.95397260273972,26.7,-23.6,12.6761643835616
2012,2.23142076502732,6.49863387978142,29,-17.5,12.80956284153
2013,0.617260273972603,6.15780821917809,31.1,-24.6,13.7353424657534
2014,2.02986301369863,7.29369863013698,29.6,-15.5,12.3832876712329
2015,1.50027397260274,7.02821917808219,28.7,-15,12.5734246575342
2016,2.58551912568306,6.50464480874317,29.9,-17.4,12.3849726775956
2017,3.85342465753425,6.16630136986302,30.3,-19.7,12.5290410958904
2018,1.9254794520548,6.60712328767123,30.5,-18.2,13.0383561643836
2019,2.44712328767124,5.48328767123288,28.8,-21,12.2345205479452
2020,1.1224043715847,7.05983606557377,30.6,-13.5,13.4437158469945
2021,1.98794520547945,7.18904109589041,30.8,-14.7,12.8715068493151
2022,1.62575342465753,6.49013698630137,30.7,-20.4,13.201095890411
